"state_county","trump","biden","others"
"connecticut,hampton",551,572,16
"connecticut,hartford",4116,28301,270
"connecticut,hartland",818,457,17
"connecticut,harwinton",2229,1397,75
"connecticut,hebron",2731,3388,147
"connecticut,kent",568,1277,20
"connecticut,killingly",4678,3402,203
"connecticut,killingworth",1979,2343,65
"connecticut,lebanon",2268,2052,118
"connecticut,ledyard",3664,4534,229
"connecticut,lisbon",1331,1099,60
"connecticut,litchfield",2555,2673,114
"connecticut,lyme",576,1165,31
"connecticut,madison",4638,7625,174
"connecticut,manchester",8530,19455,481
"connecticut,mansfield",1708,5608,169
"connecticut,marlborough",1861,2119,82
"connecticut,meriden",9981,14955,390
"connecticut,middlebury",2741,2259,78
"connecticut,middlefield",1356,1442,55
"connecticut,middletown",7611,15508,390
"connecticut,milford",13997,17626,439
"connecticut,monroe",5989,5838,175
"connecticut,montville",4242,4406,225
"connecticut,morris",874,653,34
"connecticut,naugatuck",7740,6923,241
"connecticut,new britain",7724,16031,316
"connecticut,new canaan",4855,7298,212
"connecticut,new fairfield",4343,4101,114
"connecticut,new hartford",2382,2089,106
"connecticut,new haven",6146,35521,435
"connecticut,newington",7074,10031,250
"connecticut,new london",2045,6912,166
"connecticut,new milford",7493,8004,237
"connecticut,newtown",7292,9695,282
"connecticut,norfolk",381,659,20
"connecticut,north branford",4786,3718,127
"connecticut,north canaan",812,862,31
"connecticut,north haven",7879,7389,173
"connecticut,north stonington",1710,1601,64
"connecticut,norwalk",13311,29382,526
"connecticut,norwich",5643,9306,341
"connecticut,old lyme",2099,3226,88
"connecticut,old saybrook",2995,4253,95
"connecticut,orange",4317,4816,120
"connecticut,oxford",5118,3269,127
"connecticut,plainfield",4080,2849,157
"connecticut,plainville",4811,4670,166
"connecticut,plymouth",3984,2477,132
"connecticut,pomfret",1113,1357,54
"connecticut,portland",2641,3155,92
"connecticut,preston",1529,1270,69
"connecticut,prospect",3935,2110,66
"connecticut,putnam",2193,2063,94
"connecticut,redding",2052,3829,94
"connecticut,ridgefield",5689,10278,278
"connecticut,rocky hill",4670,6115,155
"connecticut,roxbury",660,937,25
"connecticut,salem",1291,1285,47
"connecticut,salisbury",502,2023,30
"connecticut,scotland",537,406,27
"connecticut,seymour",5242,4011,139
"connecticut,sharon",510,1019,26
"connecticut,shelton",12747,10837,308
"connecticut,sherman",1076,1234,26
"connecticut,simsbury",5575,10296,303
"connecticut,somers",3204,2445,82
"connecticut,southbury",6260,6570,160
"connecticut,southington",13473,12855,390
"connecticut,south windsor",5630,9596,297
"connecticut,sprague",882,641,34
"connecticut,stafford",3461,2809,152
